,tollgate_id,vehicle_model_0-2_count_lag_1,vehicle_model_3-5_count_lag_1,vehicle_model_6-7_count_lag_1,has_etc_0_count_lag_1,has_etc_1_count_lag_1,volume_lag_1,vehicle_model_0-2_count_lag_2,vehicle_model_3-5_count_lag_2,vehicle_model_6-7_count_lag_2,has_etc_0_count_lag_2,has_etc_1_count_lag_2,volume_lag_2,vehicle_model_0-2_count_mean,vehicle_model_3-5_count_mean,vehicle_model_6-7_count_mean,has_etc_0_count_mean,has_etc_1_count_mean,volume_mean,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,other_tollgate_1_has_etc_0_count_lag_1,other_tollgate_1_has_etc_1_count_lag_1,other_tollgate_1_volume_mean,other_tollgate_2_has_etc_0_count_lag_1,other_tollgate_2_has_etc_1_count_lag_1,other_tollgate_2_volume_mean,Month,Day,Day_of_week,Is_weekend,Hour,Minute,target_1,target_2,target_3,target_4,target_5,target_6
2016-09-19 02:00:00,1,9,1,0,10,0,10,12,2,0,11,3,14,8.666666666666666,1.6666666666666667,0.0,8.666666666666666,1.6666666666666667,10.333333333333334,1008.2666666666667,1013.2666666666667,119.66666666666669,3.9333333333333336,23.666666666666664,70.0,0.0,0,2,0.8333333333333334,11,0,15.666666666666666,9,19,0,False,2,0,7,10,6,9,4,9
2016-09-19 02:00:00,3,8,3,0,11,0,11,14,3,0,15,2,17,13.166666666666666,2.3333333333333335,0.16666666666666666,14.833333333333334,0.8333333333333334,15.666666666666666,1008.2666666666667,1013.2666666666667,119.66666666666669,3.9333333333333336,23.666666666666664,70.0,0.0,10,0,10.333333333333334,0,2,0.8333333333333334,9,19,0,False,2,0,11,14,18,10,10,9
2016-09-19 02:00:00,2,2,0,0,0,2,2,0,0,0,0,0,0,0.8333333333333334,0.0,0.0,0.3333333333333333,0.5,0.8333333333333334,1008.2666666666667,1013.2666666666667,119.66666666666669,3.9333333333333336,23.666666666666664,70.0,0.0,11,0,15.666666666666666,10,0,10.333333333333334,9,19,0,False,2,0,0,0,0,0,0,0
2016-09-19 02:20:00,1,4,3,0,6,1,7,9,1,0,10,0,10,7.5,1.8333333333333333,0.0,8.166666666666666,1.1666666666666667,9.333333333333334,1008.2777777777777,1013.2777777777777,84.7777777777778,4.122222222222222,23.91111111111111,69.0,0.0,0,0,0.5,11,0,14.666666666666666,9,19,0,False,2,20,10,6,9,4,9,10
2016-09-19 02:20:00,3,11,0,0,11,0,11,8,3,0,11,0,11,13.166666666666666,1.5,0.0,13.833333333333334,0.8333333333333334,14.666666666666666,1008.2777777777777,1013.2777777777777,84.7777777777778,4.122222222222222,23.91111111111111,69.0,0.0,6,1,9.333333333333334,0,0,0.5,9,19,0,False,2,20,14,18,10,10,9,11
2016-09-19 02:20:00,2,0,0,0,0,0,0,2,0,0,0,2,2,0.5,0.0,0.0,0.0,0.5,0.5,1008.2777777777777,1013.2777777777777,84.7777777777778,4.122222222222222,23.91111111111111,69.0,0.0,11,0,14.666666666666666,6,1,9.333333333333334,9,19,0,False,2,20,0,0,0,0,0,0
2016-09-19 02:40:00,1,8,2,0,9,1,10,4,3,0,6,1,7,7.833333333333333,2.1666666666666665,0.0,8.833333333333334,1.1666666666666667,10.0,1008.2888888888889,1013.2888888888889,49.888888888888914,4.311111111111111,24.155555555555555,68.0,0.0,0,0,0.5,14,0,14.333333333333334,9,19,0,False,2,40,6,9,4,9,10,13
2016-09-19 02:40:00,3,12,2,0,14,0,14,11,0,0,11,0,11,12.666666666666666,1.6666666666666667,0.0,13.666666666666666,0.6666666666666666,14.333333333333334,1008.2888888888889,1013.2888888888889,49.888888888888914,4.311111111111111,24.155555555555555,68.0,0.0,9,1,10.0,0,0,0.5,9,19,0,False,2,40,18,10,10,9,11,8
2016-09-19 02:40:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.5,0.5,1008.2888888888889,1013.2888888888889,49.888888888888914,4.311111111111111,24.155555555555555,68.0,0.0,14,0,14.333333333333334,9,1,10.0,9,19,0,False,2,40,0,0,0,0,0,0
2016-09-19 03:00:00,1,1,5,0,6,0,6,8,2,0,9,1,10,6.833333333333333,2.6666666666666665,0.0,8.5,1.0,9.5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,0,0,0.5,16,2,14.666666666666666,9,19,0,False,3,0,9,4,9,10,13,12
2016-09-19 03:00:00,3,18,0,0,16,2,18,12,2,0,14,0,14,13.166666666666666,1.5,0.0,13.833333333333334,0.8333333333333334,14.666666666666666,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,6,0,9.5,0,0,0.5,9,19,0,False,3,0,10,10,9,11,8,10
2016-09-19 03:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.5,0.5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0,16,2,14.666666666666666,6,0,9.5,9,19,0,False,3,0,0,0,0,0,0,0
2016-09-19 03:20:00,1,7,2,0,9,0,9,1,5,0,6,0,6,6.833333333333333,2.5,0.0,8.5,0.8333333333333334,9.333333333333334,1008.1999999999999,1013.1888888888889,14.666666666666666,4.688888888888889,24.666666666666664,65.77777777777777,0.0,0,0,0.3333333333333333,10,0,13.5,9,19,0,False,3,20,4,9,10,13,12,2
2016-09-19 03:20:00,3,9,1,0,10,0,10,18,0,0,16,2,18,12.0,1.5,0.0,12.833333333333334,0.6666666666666666,13.5,1008.1999999999999,1013.1888888888889,14.666666666666666,4.688888888888889,24.666666666666664,65.77777777777777,0.0,9,0,9.333333333333334,0,0,0.3333333333333333,9,19,0,False,3,20,10,9,11,8,10,9
2016-09-19 03:20:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1008.1999999999999,1013.1888888888889,14.666666666666666,4.688888888888889,24.666666666666664,65.77777777777777,0.0,10,0,13.5,9,0,9.333333333333334,9,19,0,False,3,20,0,0,0,0,0,14
2016-09-19 03:40:00,3,10,0,0,10,0,10,9,1,0,10,0,10,11.333333333333334,1.0,0.0,12.0,0.3333333333333333,12.333333333333334,1008.0999999999999,1013.0777777777778,14.333333333333334,4.877777777777778,24.933333333333334,64.55555555555556,0.0,3,1,7.666666666666667,0,0,0.3333333333333333,9,19,0,False,3,40,9,11,8,10,9,14
2016-09-19 03:40:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1008.0999999999999,1013.0777777777778,14.333333333333334,4.877777777777778,24.933333333333334,64.55555555555556,0.0,10,0,12.333333333333334,3,1,7.666666666666667,9,19,0,False,3,40,0,0,0,0,14,12
2016-09-19 03:40:00,1,3,1,0,3,1,4,7,2,0,9,0,9,5.333333333333333,2.3333333333333335,0.0,7.166666666666667,0.5,7.666666666666667,1008.0999999999999,1013.0777777777778,14.333333333333334,4.877777777777778,24.933333333333334,64.55555555555556,0.0,0,0,0.3333333333333333,10,0,12.333333333333334,9,19,0,False,3,40,9,10,13,12,2,8
2016-09-19 04:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1012.9666666666666,14.0,5.066666666666666,25.2,63.333333333333336,0.0,9,0,12.0,7,2,7.5,9,19,0,False,4,0,0,0,0,14,12,21
2016-09-19 04:00:00,1,6,3,0,7,2,9,3,1,0,3,1,4,4.833333333333333,2.6666666666666665,0.0,6.666666666666667,0.8333333333333334,7.5,1008.0,1012.9666666666666,14.0,5.066666666666666,25.2,63.333333333333336,0.0,0,0,0.0,9,0,12.0,9,19,0,False,4,0,10,13,12,2,8,13
